Index,Artist,Song Name,Streams,Release Date,Genre,Loudness,Popularity,Danceability,Tempo,Energy,Chord,Duration (ms)
89,"Belly, The Weeknd, Young Thug",Better Believe,7365053,2021-07-22,"['canadian hip hop', 'canadian trap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'trap soul', 'underground hip hop']",-7.85,80.0,0.797,124,0.573,C,206629
90,Duncan Laurence,Arcade,7353795,2019-03-07,['dutch pop'],-12.603,84.0,0.45,71,0.329,A,183624
91,"Mora, Jhay Cortez",512,7336542,2021-02-05,"['reggaeton', 'trap latino']",-7.542,87.0,0.818,87,0.673,E,193636
92,Ariana Grande,positions,7244853,2020-10-30,"['dance pop', 'pop', 'post-teen pop']",-4.771,86.0,0.737,144,0.802,C,172325
93,Post Malone,Circles,7156162,2019-09-06,"['dfw rap', 'melodic rap', 'rap']",-3.497,87.0,0.695,120,0.762,C,215280
94,"RAF Camora, Bonez MC",Blaues Licht,7084292,2021-07-16,['german hip hop'],-4.899,78.0,0.819,144,0.835,G#/Ab,144264
95,"Natti Natasha, Becky G",Ram Pam Pam,7064003,2021-04-20,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",-2.749,86.0,0.908,97,0.813,F,200785
96,"J Balvin, Skrillex",In Da Getto,6984262,2021-08-12,[],-3.126,2.0,0.915,126,0.72,G#/Ab,131067
97,Doja Cat,Woman,6858466,2021-06-25,"['dance pop', 'pop']",-4.175,86.0,0.824,107,0.764,F,172627
98,WILLOW,t r a n s p a r e n t s o u l feat. Travis Barker,6853994,2021-04-27,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']",-5.201,85.0,0.39,90,0.83,B,168030
99,Dave,Clash (feat. Stormzy),6825463,2021-07-08,['uk hip hop'],-6.549,79.0,0.871,140,0.519,D,251733
100,Lewis Capaldi,Before You Go,6813800,2019-11-22,"['pop', 'uk pop']",-4.858,83.0,0.459,111,0.575,D#/Eb,215107
101,Dua Lipa,Levitating,6799831,2020-10-01,"['dance pop', 'pop', 'uk pop']",-3.787,89.0,0.702,102,0.825,F#/Gb,203064
102,Madison Beer,Reckless,6711375,2021-06-04,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",-6.642,86.0,0.386,180,0.426,D#/Eb,203385
103,BANDIDO,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",6709106,2021-06-16,[],-2.088,85.0,0.769,180,0.812,C#/Db,280274
104,Imagine Dragons,Believer,6699895,2017-06-23,"['modern rock', 'pop', 'rock']",-4.374,86.0,0.776,124,0.78,A#/Bb,204347
105,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",6697067,2020-08-14,"['pop rap', 'rap', 'trap']",-6.153,82.0,0.799,140,0.66,C#/Db,195429
106,Bruno Mars,Talking to the Moon,6660319,2010-10-05,"['dance pop', 'pop', 'post-teen pop']",-4.754,83.0,0.523,145,0.606,C#/Db,217867
107,SAINt JHN,Roses - Imanbek Remix,6653690,2020-11-20,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']",-5.472,72.0,0.769,121,0.719,G#/Ab,176867
108,Sech,Sal y Perrea,6635076,2021-04-15,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",-0.515,86.0,0.786,90,0.899,A#/Bb,216510
109,"Becky G, El Alfa",Fulanito,6614072,2021-06-03,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",-4.632,86.0,0.93,111,0.837,G,158532
110,Ingratax,ParÃ­s,6584896,2021-07-09,[],-5.748,86.0,0.57,167,0.455,C#/Db,151429
111,Billie Eilish,lovely (with Khalid),6569547,2018-04-19,"['electropop', 'pop']",-10.109,86.0,0.351,115,0.296,E,200186
112,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,6546948,2018-12-14,[],-5.574,82.0,0.76,89,0.479,D,158040
113,dhruv,double take,6539852,2019-05-24,"['chill r&b', 'nyc pop']",-11.177,86.0,0.663,109,0.434,G#/Ab,171743
114,Doja Cat,Streets,6502302,2019-11-07,"['dance pop', 'pop']",-8.433,86.0,0.749,90,0.463,B,226987
115,Calvin Harris,By Your Side (feat. Tom Grennan),6488622,2021-06-04,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",-3.597,85.0,0.733,124,0.96,G,189672
116,Luan Santana,MORENA,6469500,2021-06-17,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",-4.662,85.0,0.526,86,0.731,B,193221
117,Ed Sheeran,Shape of You,6452492,2017-03-03,"['pop', 'uk pop']",-3.183,85.0,0.825,95,0.652,C#/Db,233713
118,"Shawn Mendes, Camila Cabello",SeÃ±orita,6317487,2019-06-21,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",-6.039,82.0,0.759,116,0.54,A,190960
119,Justin Bieber,Hold On,6300416,2021-08-13,[],-5.797,0.0,0.658,139,0.634,C#/Db,170813
120,Ed Sheeran,Perfect,6278765,2017-03-03,"['pop', 'uk pop']",-6.312,86.0,0.599,95,0.448,G#/Ab,263400
121,"MYA, TINI, Duki",2:50 Remix,6244011,2021-06-21,['latin pop'],-4.425,85.0,0.818,139,0.812,A,231708
122,"Bad Bunny, ROSALÃA",LA NOCHE DE ANOCHE,6242863,2020-11-27,"['latin', 'reggaeton', 'trap latino']",-4.892,86.0,0.856,81,0.618,G,203201
123,DaBaby,ROCKSTAR (feat. Roddy Ricch),6180056,2020-04-17,"['north carolina hip hop', 'rap']",-7.956,86.0,0.746,89,0.69,B,181733
124,Conan Gray,Heather,6164795,2020-03-20,"['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop']",-7.301,86.0,0.357,102,0.425,F,198040
125,Tate McRae,you broke me first,6152121,2020-04-17,"['alt z', 'dance pop', 'pop', 'post-teen pop']",-9.389,86.0,0.667,124,0.373,E,169266
126,Avicii,The Nights,6136340,2014-01-01,"['dance pop', 'edm', 'pop', 'pop dance']",-5.298,85.0,0.527,125,0.835,F#/Gb,176658
127,Vance Joy,Riptide,6089242,2014-09-09,"['folk-pop', 'modern rock', 'pop', 'pop rock']",-6.694,78.0,0.484,101,0.731,C#/Db,204280
128,Nirvana,Smells Like Teen Spirit,6065267,1991-09-26,"['grunge', 'permanent wave', 'rock']",-4.556,77.0,0.502,116,0.912,C#/Db,301920
129,Olivia Rodrigo,enough for you,6040918,2021-05-21,['pop'],-10.706,86.0,0.638,88,0.259,G,202827
130,The Neighbourhood,Daddy Issues,6014443,2015-10-30,"['modern alternative rock', 'modern rock', 'pop']",-9.461,85.0,0.588,85,0.521,A#/Bb,260173
131,JoÃ£o Gomes,Aquelas Coisas,6012839,2021-06-01,[],-4.163,84.0,0.682,150,0.873,F#/Gb,147072
132,Trippie Redd,Miss The Rage (feat. Playboi Carti),5952490,2021-05-07,"['melodic rap', 'rap', 'trap']",-5.616,85.0,0.584,77,0.859,G#/Ab,236883
133,Maroon 5,Memories,5928329,2021-06-11,"['pop', 'pop rock']",-7.241,85.0,0.775,91,0.327,B,189486
134,Tom Odell,Another Love,5914661,2013-09-17,['pop'],-8.532,67.0,0.445,122,0.537,E,244360
135,Jamie Miller,Here's Your Perfect,5912784,2021-04-30,['pop soul'],-5.335,85.0,0.558,113,0.454,F#/Gb,158594
136,Hozier,Take Me To Church,5907750,2014-09-19,"['irish singer-songwriter', 'modern rock', 'pop']",-5.303,74.0,0.566,128,0.664,E,241693
137,Tom Grennan,Little Bit of Love,5848466,2021-01-08,"['modern rock', 'uk pop']",-4.48,80.0,0.689,106,0.706,C#/Db,226268
138,Gusttavo Lima,Ficha Limpa,5847975,2021-06-19,"['sertanejo', 'sertanejo universitario']",-4.227,85.0,0.774,135,0.732,A,192725
139,Cardi B,Up,5845156,2021-02-05,"['dance pop', 'pop', 'pop rap', 'rap']",-6.044,83.0,0.868,166,0.795,B,156945
140,Maluma,HawÃ¡i,5769714,2020-11-05,"['latin', 'reggaeton', 'reggaeton colombiano']",-3.128,77.0,0.766,179,0.788,F#/Gb,200482
141,Khalid,New Normal,5768653,2021-07-21,['pop'],-9.575,79.0,0.39,92,0.534,C,198765
142,Queen,Bohemian Rhapsody - Remastered 2011,5756583,1975-11-21,"['classic rock', 'glam rock', 'rock']",-9.961,74.0,0.392,143,0.402,C,354320
143,"Myke Towers, Juhn",Bandido,5734402,2020-12-10,['trap latino'],-4.637,85.0,0.713,168,0.617,G#/Ab,232853
144,MEDUZA,Paradise (feat. Dermot Kennedy),5693848,2020-10-30,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",-7.644,85.0,0.632,124,0.595,G#/Ab,167903
145,Travis Scott,goosebumps,5691540,2021-01-15,"['rap', 'slap house']",-7.846,87.0,0.841,124,0.593,C#/Db,162803
146,Ofenbach,Wasted Love (feat. Lagique),5690260,2021-01-08,"['edm', 'new french touch', 'pop dance', 'tropical house']",-4.578,85.0,0.734,121,0.855,F#/Gb,139563
147,"Camilo, Shawn Mendes",KESI - Remix,5682062,2021-07-14,"['colombian pop', 'reggaeton colombiano']",-4.439,83.0,0.871,122,0.815,E,176575
148,"Lady Gaga, Bradley Cooper",Shallow,5672480,2018-10-05,"['dance pop', 'pop', 'post-teen pop']",-6.362,83.0,0.572,95,0.385,G,215733
149,"Cochise, $NOT",Tell Em,5668576,2021-05-28,"['plugg', 'vapor trap', 'viral rap']",-7.476,85.0,0.672,157,0.717,F,180380
150,Mari Fernandez,"NÃ£o, NÃ£o Vou",5652272,2021-04-29,[],-1.891,84.0,0.631,149,0.861,B,173038
151,OneRepublic,Counting Stars,5647568,2014-01-01,"['dance pop', 'piano rock', 'pop', 'pop rock']",-4.972,74.0,0.664,122,0.705,C#/Db,257840
152,Coldplay,Yellow,5628703,2000-07-10,"['permanent wave', 'pop']",-7.227,85.0,0.429,173,0.661,B,266773
153,"Emilia, Duki",Como Si No Importara,5627257,2021-07-13,[],-6.658,83.0,0.843,94,0.534,C#/Db,173053
154,"JoÃ£o Gomes, Vitor Fernandes",Se For Amor,5618268,2021-06-01,[],-4.402,81.0,0.667,147,0.899,B,239928
155,Avicii,Wake Me Up,5607285,2013-01-01,"['dance pop', 'edm', 'pop', 'pop dance']",-5.697,84.0,0.532,124,0.783,D,247427
156,"Matheus Fernandes, Dilsinho",Baby Me Atende,5594505,2021-02-26,"['forro', 'sertanejo pop']",-3.825,83.0,0.65,154,0.792,F#/Gb,225672
157,Vegedream,Ramenez la coupe Ã  la maison,5576844,2021-08-13,[],-6.237,0.0,0.808,107,0.66,C,235556
158,Pop Smoke,What You Know Bout Love,5570735,2020-07-03,['brooklyn drill'],-8.493,85.0,0.709,83,0.548,A#/Bb,160000
159,AURORA,Runaway,5566150,2014,"['art pop', 'norwegian pop']",-10.34,77.0,0.521,115,0.277,B,248827
160,DaBaby,Red Light Green Light,5493760,2021-06-25,"['north carolina hip hop', 'rap']",-5.85,84.0,0.933,119,0.656,D,159083
161,DaBaby,Ball If I Want To,5478055,2021-06-18,"['north carolina hip hop', 'rap']",-5.049,84.0,0.902,139,0.669,C#/Db,112547
162,Juice WRLD,Lucid Dreams,5477563,2018-12-10,"['chicago rap', 'melodic rap']",-7.23,85.0,0.511,83,0.566,F#/Gb,239836
163,"Lil Tjay, 6LACK",Calling My Phone,5467753,2021-04-02,"['brooklyn drill', 'melodic rap', 'nyc rap']",-7.636,85.0,0.907,104,0.393,E,205458
164,Ariana Grande,34+35,5453159, , ,,,0.0,0,, , 
165,Billie Eilish,bad guy,5436286,2021-08-13,[],-10.965,0.0,0.701,135,0.425,G,194088
166,"P!nk, Willow Sage Hart",Cover Me In Sunshine,5434073,2021-02-12,"['dance pop', 'pop', 'post-teen pop']",-6.879,83.0,0.476,159,0.594,F,141050
167,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),5431375,2020-07-03,['brooklyn drill'],-6.606,84.0,0.823,125,0.586,F#/Gb,190476
168,Olivia Rodrigo,"1 step forward, 3 steps back",5420003,2021-05-21,['pop'],-12.627,85.0,0.473,168,0.203,D,163587
169,Cardi B,WAP (feat. Megan Thee Stallion),5386268,2020-08-07,"['dance pop', 'pop', 'pop rap', 'rap']",-7.509,84.0,0.935,133,0.454,C#/Db,187541
170,The Killers,Mr. Brightside,5382191,2004-06-15,"['dance rock', 'modern rock', 'permanent wave', 'rock']",-3.74,75.0,0.356,148,0.924,C#/Db,222587
171,The Police,Every Breath You Take,5379704,1983-06-17,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']",-9.796,83.0,0.82,117,0.452,C#/Db,253920
172,Fleetwood Mac,Dreams - 2004 Remaster,5378971,1977-02-04,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",-9.744,84.0,0.828,120,0.492,C,257800
173,James Arthur,Say You Won't Let Go,5375426,2016-10-28,"['pop', 'post-teen pop', 'talent show', 'uk pop']",-7.398,84.0,0.358,85,0.557,A#/Bb,211467
174,Normani,Wild Side (feat. Cardi B),5366242,2021-07-22,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",-6.744,75.0,0.74,110,0.576,F#/Gb,209476
175,Pop Smoke,Bout A Million (feat. 42 Dugg & 21 Savage),5315734,2021-07-16,['brooklyn drill'],-6.995,81.0,0.716,145,0.67,C,203586
176,Pop Smoke,Demeanor (feat. Dua Lipa),5245618,2021-07-16,['brooklyn drill'],-6.934,81.0,0.675,99,0.608,D#/Eb,184800
177,"Powfu, beabadoobee",death bed (coffee for your head),5238547,2020-02-08,['sad rap'],-8.765,85.0,0.726,144,0.431,G#/Ab,173333
178,"Anne-Marie, Niall Horan",Our Song,5235335,2021-05-21,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",-4.245,83.0,0.595,80,0.759,B,163733
